datetime,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2024-11-04 18:00:00,12.8,3.4,53.0,0.0,,149.0,18.4,,1032.0,,3.0
2024-11-04 19:00:00,12.8,5.2,60.0,0.0,,140.0,13.0,,1031.0,,3.0
2024-11-04 20:00:00,12.8,6.1,64.0,0.0,,140.0,13.0,,1030.0,,3.0
2024-11-04 21:00:00,12.8,6.1,64.0,0.0,,156.0,15.5,,1030.0,,3.0
2024-11-04 22:00:00,12.8,7.9,72.0,0.0,,153.0,7.0,,1030.0,,3.0
2024-11-04 23:00:00,11.8,7.9,77.0,0.0,,162.0,7.0,,1029.0,,3.0
2024-11-05 00:00:00,11.8,7.9,77.0,0.0,,171.0,6.0,,1028.0,,1.0
2024-11-05 01:00:00,12.8,8.9,77.0,0.0,,150.0,6.0,,1028.0,,3.0
2024-11-05 02:00:00,12.8,8.9,77.0,0.0,,192.0,11.5,,1028.0,,3.0
2024-11-05 03:00:00,13.8,9.2,74.0,0.0,,211.0,10.4,,1027.0,,3.0
2024-11-05 04:00:00,13.8,9.4,75.0,0.0,,215.0,6.0,,1026.0,,3.0
2024-11-05 05:00:00,13.8,9.4,75.0,0.0,,229.0,11.2,,1026.0,,1.0
2024-11-05 06:00:00,13.8,10.0,78.0,0.0,,232.0,10.4,,1026.0,,1.0
2024-11-05 07:00:00,13.8,10.6,81.0,0.0,,234.0,7.0,,1025.0,,2.0
2024-11-05 08:00:00,12.8,10.0,83.0,0.0,,300.0,7.0,,1025.0,,1.0
2024-11-05 09:00:00,12.8,10.0,83.0,0.0,,250.0,6.0,,1025.0,,1.0
2024-11-05 10:00:00,12.8,9.4,80.0,0.0,,252.0,10.1,,1025.0,,1.0
2024-11-05 11:00:00,12.8,10.2,84.0,0.0,,246.0,10.4,,1026.0,,3.0
2024-11-05 12:00:00,13.8,10.6,81.0,0.0,,240.0,9.0,,1026.0,,1.0
2024-11-05 13:00:00,13.8,10.6,81.0,0.0,,270.0,11.0,,1026.0,,1.0
2024-11-05 14:00:00,15.8,11.4,75.0,0.0,,240.0,13.0,,1025.0,,1.0
2024-11-05 15:00:00,17.8,11.8,68.0,0.0,,220.0,6.0,,1025.0,,1.0
2024-11-05 16:00:00,18.8,11.1,61.0,0.0,,224.0,20.5,,1024.0,,3.0
2024-11-05 17:00:00,20.8,11.9,57.0,0.0,,227.0,7.0,,1023.0,,3.0
2024-11-05 18:00:00,21.8,12.3,55.0,0.0,,224.0,23.0,,1022.0,,3.0
2024-11-05 19:00:00,21.8,11.8,53.0,0.0,,218.0,21.2,,1021.0,,3.0
2024-11-05 20:00:00,21.8,11.2,51.0,0.0,,214.0,20.9,,1021.0,,2.0
2024-11-05 21:00:00,20.8,12.5,59.0,0.0,,212.0,17.6,,1021.0,,1.0
2024-11-05 22:00:00,18.8,12.3,66.0,0.0,,209.0,15.5,,1021.0,,1.0
2024-11-05 23:00:00,20.8,13.0,61.0,0.0,,206.0,9.0,,1021.0,,2.0
2024-11-06 00:00:00,20.8,12.5,59.0,0.0,,210.0,18.0,,1021.0,,1.0
2024-11-06 01:00:00,18.8,12.8,68.0,0.0,,210.0,6.0,,1021.0,,1.0
2024-11-06 02:00:00,18.8,12.8,68.0,0.0,,216.0,21.2,,1021.0,,1.0
2024-11-06 03:00:00,18.8,13.4,71.0,0.0,,210.0,11.0,,1021.0,,1.0
2024-11-06 04:00:00,17.8,13.9,78.0,0.0,,222.0,9.0,,1020.0,,1.0
2024-11-06 05:00:00,17.8,13.5,76.0,0.0,,221.0,6.0,,1020.0,,1.0
2024-11-06 06:00:00,17.8,11.8,68.0,0.0,,220.0,13.0,,1020.0,,1.0
2024-11-06 07:00:00,18.8,12.1,65.0,0.0,,220.0,7.0,,1019.0,,1.0
2024-11-06 08:00:00,17.8,11.8,68.0,0.0,,227.0,6.0,,1019.0,,1.0
2024-11-06 09:00:00,18.8,12.8,68.0,0.0,,225.0,6.0,,1019.0,,1.0
2024-11-06 10:00:00,17.8,12.2,70.0,0.0,,226.0,6.0,,1019.0,,3.0
2024-11-06 11:00:00,17.8,12.2,70.0,0.0,,225.0,20.2,,1019.0,,1.0
2024-11-06 12:00:00,18.8,13.2,70.0,0.0,,225.0,11.0,,1019.0,,1.0
2024-11-06 13:00:00,18.8,12.8,68.0,0.0,,224.0,7.0,,1019.0,,1.0
2024-11-06 14:00:00,20.8,13.7,64.0,0.0,,224.0,6.0,,1018.0,,1.0
2024-11-06 15:00:00,22.8,13.8,57.0,0.0,,210.0,13.0,,1017.0,,1.0
2024-11-06 16:00:00,23.8,13.3,52.0,0.0,,229.0,24.8,,1017.0,,1.0
2024-11-06 17:00:00,25.8,13.6,47.0,0.0,,231.0,25.2,,1016.0,,1.0
2024-11-06 18:00:00,25.8,13.6,47.0,0.0,,231.0,23.8,,1014.0,,2.0
2024-11-06 19:00:00,25.8,13.9,48.0,0.0,,220.0,9.0,,1015.0,,1.0
2024-11-06 20:00:00,26.8,12.8,42.0,0.0,,246.0,22.0,,1015.0,,3.0
2024-11-06 21:00:00,25.8,12.9,45.0,0.0,,240.0,6.0,,1016.0,,3.0
2024-11-06 22:00:00,23.8,12.1,48.0,0.0,,250.0,7.0,,1016.0,,3.0
2024-11-06 23:00:00,24.8,13.0,48.0,0.0,,237.0,6.0,,1017.0,,3.0
2024-11-07 00:00:00,24.8,13.0,48.0,0.0,,236.0,16.6,,1017.0,,2.0
2024-11-07 01:00:00,23.8,13.3,52.0,0.0,,240.0,6.0,,1016.0,,3.0
2024-11-07 02:00:00,23.8,13.9,54.0,0.0,,247.0,7.0,,1017.0,,2.0
2024-11-07 03:00:00,22.8,13.5,56.0,0.0,,244.0,13.0,,1017.0,,3.0
2024-11-07 04:00:00,22.8,13.8,57.0,0.0,,260.0,11.0,,1017.0,,2.0
2024-11-07 05:00:00,21.8,13.4,59.0,0.0,,255.0,6.0,,1017.0,,3.0
2024-11-07 06:00:00,21.8,13.9,61.0,0.0,,252.0,9.0,,1017.0,,3.0
2024-11-07 07:00:00,20.8,14.7,68.0,0.0,,250.0,6.0,,1017.0,,3.0
2024-11-07 08:00:00,20.8,14.7,68.0,0.0,,260.0,7.0,,1017.0,,3.0
2024-11-07 09:00:00,18.8,13.8,73.0,0.0,,240.0,6.0,,1018.0,,3.0
2024-11-07 10:00:00,18.8,14.3,75.0,0.0,,240.0,6.0,,1018.0,,3.0
2024-11-07 11:00:00,18.8,13.8,73.0,0.0,,261.0,7.0,,1018.0,,3.0
2024-11-07 12:00:00,18.8,12.8,68.0,0.0,,250.0,6.0,,1019.0,,3.0
2024-11-07 13:00:00,19.8,12.5,63.0,0.0,,286.0,9.0,,1019.0,,3.0
2024-11-07 14:00:00,19.8,9.9,53.0,0.0,,300.0,13.0,,1019.0,,1.0
2024-11-07 15:00:00,21.8,7.9,41.0,0.0,,314.0,7.0,,1019.0,,1.0
